Kyle Chipchura;;
Brenden Dillon;;
Tyler Myers;;
Erik Gustafsson;;
Sean Couturier;;
Zack Smith;;
Nick Schultz;;
Francis Bouillon;;
Mike Weaver;;
Joni Pitkanen;;
Steve Oleksy;;
Marc-Andre Bergeron;;
Eric Nystrom;;
Zack Kassian;;
Keith Aucoin;;
Blake Comeau;;
Anton Stralman;;
Tommy Wingels;;
Nick Bonino;;
Boyd Gordon;;
Stephen Gionta;;
Milan Michalek;;
Patric Hornqvist;;
Sergei Kostitsyn;;
Rostislav Klesla;;
Tim Gleason;;
Taylor Pyatt;;
Lauri Korpikoski;;
Tyler Kennedy;;
Brian Flynn;;
Ryan Johansen;;
Marc-Edouard Vlasic;;
Wade Redden;;
Marcus Kruger;;
Gregory Campbell;;
Ruslan Fedotenko;;
Ryan Kesler;;
Jason Chimera;;
Beau Bennett;;
Scott Gomez;;
Luca Sbisa;;
Chris Butler;;
Jamie McBain;;
Guillaume Latendresse;;
Matt Halischuk;;
Rob Klinkhammer;;
Chris Neil;;
Erik Condra;;
Craig Smith;;
Drew Shore;;
Christopher Tanev;;
Keith Aulie;;
Simon Despres;;
Davis Drewiske;;
Dustin Penner;;
Brooks Orpik;;
Michael Kostka;;
Mark Fraser;;
Brendan Smith;;
Maxime Talbot;;
Nathan Gerbe;;
John Erskine;;
Matt Martin;;
Milan Hejduk;;
Bobby Butler;;
Jack Skille;;
Ryan Smyth;;
Mike Weber;;
Kris Russell;;
Dalton Prout;;
Jonathon Blum;;
Tomas Kundratek;;
John Moore;;
Ryan Malone;;
Chuck Kobasew;;
Richard Panik;;
Alexander Burmistrov;;
Maxim Lapierre;;
Dwight King;;
Cal Clutterbuck;;
Ryan O'Byrne;;
Eric Gryba;;
Bobby Sanguinetti;;
Ryan Ellis;;
Justin Braun;;
Victor Bartley;;
Alex Chiasson;;
Matt Hendricks;;
Cory Emmerton;;
Leo Komarov;;
Alexei Ponikarovsky;;
Kevin Porter;;
Rich Clune;;
Riley Nash;;
Wojtek Wolski;;
Tuomo Ruutu;;
Michael Frolik;;
Emerson Etem;;
