Ryan Spooner;$760,000;Bruins;WAIVER EXEMPT
Seth Griffith;$759,167;Bruins;WAIVER EXEMPT
A. Fallstrom;$727,500;Bruins;WAIVER EXEMPT
Ben Sexton;$690,000;Bruins;WAIVER EXEMPT
Adam Morrison;$645,000;Bruins;WAIVER EXEMPT
Zach Trotman;$625,000;Bruins;WAIVER EXEMPT
C. Breen;$600,000;Bruins;WAIVER EXEMPT
David Warsofsky;$600,000;Bruins;WAIVER EXEMPT
Craig Cunningham;$600,000;Bruins;WAIVER EXEMPT
Tommy Cross;$600,000;Bruins;WAIVER EXEMPT
Bobby Robins;$600,000;Bruins;WAIVER EXEMPT
Rob Flick;$599,167;Bruins;WAIVER EXEMPT
Tyler Randell;$575,000;Bruins;WAIVER EXEMPT
Jeremy Smith;$550,000;Bruins;WAIVER EXEMPT
Matt Fraser;Not signed;Bruins;WAIVER EXEMPT
Matt Moulson;$5,000,000;Sabres;Forwards
Tyler Ennis;$4,600,000;Sabres;Forwards
Cody Hodgson;$4,250,000;Sabres;Forwards
Brian Gionta;$4,250,000;Sabres;Forwards
Chris Stewart;$4,150,000;Sabres;Forwards
Drew Stafford;$4,000,000;Sabres;Forwards
Torrey Mitchell;$1,900,000;Sabres;Forwards
Marcus Foligno;$1,875,000;Sabres;Forwards
Cody McCormick;$1,500,000;Sabres;Forwards
Patrick Kaleta;$1,250,000;Sabres;Forwards
Sam Reinhart;$925,000;Sabres;WAIVER EXEMPT
Z. Girgensons;$894,167;Sabres;WAIVER EXEMPT
Brian Flynn;$637,500;Sabres;WAIVER EXEMPT
Zenon Konopka;Not signed;Sabres;WAIVER EXEMPT
Tyler Myers;$5,500,000;Sabres;Defensemen
Andrej Meszaros;$4,125,000;Sabres;Defensemen
Josh Gorges;$3,900,000;Sabres;Defensemen
Mike Weber;$1,666,667;Sabres;Defensemen
R. Ristolainen;$925,000;Sabres;WAIVER EXEMPT
Jake McCabe;$925,000;Sabres;WAIVER EXEMPT
Andre Benoit;$800,000;Sabres;WAIVER EXEMPT
Chad Ruhwedel;$650,000;Sabres;WAIVER EXEMPT
Henrik Tallinder;Not signed;Sabres;WAIVER EXEMPT
Jamie McBain;Not signed;Sabres;WAIVER EXEMPT
Michal Neuvirth;$2,500,000;Sabres;Goaltenders
Jhonas Enroth;$1,250,000;Sabres;Goaltenders
C. Ehrhoff;$0;Sabres;2028
Ville Leino;$0;Sabres;2028
M. Grigorenko;$925,000;Sabres;WAIVER EXEMPT
Tim Schaller;$925,000;Sabres;WAIVER EXEMPT
Joel Armia;$894,167;Sabres;WAIVER EXEMPT
Nikita Zadorov;$894,167;Sabres;WAIVER EXEMPT
Mark Pysyk;$870,000;Sabres;WAIVER EXEMPT
Linus Ullmark;$775,833;Sabres;WAIVER EXEMPT
Johan Larsson;$763,333;Sabres;WAIVER EXEMPT
Matthew Hackett;$750,750;Sabres;WAIVER EXEMPT
