rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points
148;Mikael Granlund;MIN;C;63;8;33;41;16;33;49
149;Brent Seabrook;CHI;D;82;7;34;41;21;68;89
150;Steven Stamkos;TBL;C;37;25;15;40;50;15;65
151;Matt Read;PHI;R;75;22;18;40;44;18;62
152;Cam Atkinson;CBJ;R;79;21;19;40;42;19;61
153;Brian Gionta;MTL;R;81;18;22;40;36;22;58
154;Zdeno Chara;BOS;D;77;17;23;40;51;46;97
155;Jordan Staal;CAR;C;82;15;25;40;30;25;55
156;Martin Hanzal;PHX;C;65;15;25;40;30;25;55
157;Torey Krug;BOS;D;79;14;26;40;42;52;94
158;Roman Josi;NSH;D;72;13;27;40;39;54;93
159;Rick Nash;NYR;L;65;26;13;39;52;13;65
160;Artem Anisimov;CBJ;C;81;22;17;39;44;17;61
161;Andrew Shaw;CHI;C;80;20;19;39;40;19;59
162;Tomas Tatar;DET;L;73;19;20;39;38;20;58
163;Mikael Backlund;CGY;C;76;18;21;39;36;21;57
164;Nick Foligno;CBJ;L;70;18;21;39;36;21;57
165;Chris Higgins;VAN;L;78;17;22;39;34;22;56
166;Milan Michalek;OTT;L;82;17;22;39;34;22;56
167;Sean Couturier;PHI;C;82;13;26;39;26;26;52
168;Matt Cullen;NSH;C;77;10;29;39;20;29;49
169;Erik Johnson;COL;D;80;9;30;39;27;60;87
170;Jamie McGinn;COL;L;79;19;19;38;38;19;57
171;Tommy Wingels;SJS;C;77;16;22;38;32;22;54
172;Nick Bjugstad;FLA;C;76;16;22;38;32;22;54
173;Tyson Barrie;COL;D;64;13;25;38;39;50;89
174;Mike Green;WSH;D;70;9;29;38;27;58;85
175;Josh Bailey;NYI;L;77;8;30;38;16;30;46
176;Vincent Lecavalier;PHI;C;69;20;17;37;40;17;57
177;Chris Kreider;NYR;L;66;17;20;37;34;20;54
178;Pavel Datsyuk;DET;C;45;17;20;37;34;20;54
179;Scottie Upshall;FLA;L;76;15;22;37;30;22;52
180;John Carlson;WSH;D;82;10;27;37;30;54;84
181;Drew Doughty;LAK;D;78;10;27;37;30;54;84
182;Sam Gagner;EDM;C;67;10;27;37;20;27;47
183;Loui Eriksson;BOS;R;61;10;27;37;20;27;47
184;Derek Roy;STL;C;75;9;28;37;18;28;46
185;Brian Campbell;FLA;D;82;7;30;37;21;60;81
186;Jay Bouwmeester;STL;D;82;4;33;37;12;66;78
187;Brad Boyes;FLA;R;78;21;15;36;42;15;57
188;Ryan Callahan;NYR, TBL;R;65;17;19;36;34;19;53
189;Benoit Pouliot;NYR;L;80;15;21;36;30;21;51
190;Nino Niederreiter;MIN;R;81;14;22;36;28;22;50
191;Dan Boyle;SJS;D;75;12;24;36;36;48;84
192;Kris Versteeg;FLA, CHI;L;81;12;24;36;24;24;48
193;Cam Fowler;ANA;D;70;6;30;36;18;60;78
194;Cody Eakin;DAL;C;81;16;19;35;32;19;51
195;Dustin Penner;ANA, WSH;R;67;14;21;35;28;21;49
196;Alex Chiasson;DAL;R;79;13;22;35;26;22;48
197;Mikhail Grabovski;WSH;C;58;13;22;35;26;22;48
198;Kimmo Timonen;PHI;D;77;6;29;35;18;58;76
199;Sean Monahan;CGY;C;75;22;12;34;44;12;56
200;Michael Ryder;NJD;R;82;18;16;34;36;16;52
201;R.J. Umberger;CBJ;C;74;18;16;34;36;16;52
202;Drew Stafford;BUF;R;70;16;18;34;32;18;50
203;Valeri Nichushkin;DAL;R;79;14;20;34;28;20;48
204;Mark Scheifele;WPG;C;63;13;21;34;26;21;47
205;Lee Stempniak;CGY, PIT;R;73;12;22;34;24;22;46
206;Mark Letestu;CBJ;C;82;12;22;34;24;22;46
207;Jason Demers;SJS;D;75;5;29;34;15;58;73
208;Slava Voynov;LAK;D;82;4;30;34;12;60;72
209;Carl Hagelin;NYR;L;72;17;16;33;34;16;50
210;Mika Zibanejad;OTT;C;69;16;17;33;32;17;49
211;Matt Stajan;CGY;C;63;14;19;33;28;19;47
212;Pierre-Alexandre Parenteau;COL;R;55;14;19;33;28;19;47
213;Justin Schultz;EDM;D;74;11;22;33;33;44;77
